,marketplace,title,price,sold,city,link,extraction_date
0,blibli,VGA CARD ZOTAC RTX2060 DDR6 6GB 192BIT / VGA RTX 2060 DDR6 / VGA10-ZOT,Rp10.899.000,,"Kota Makassar, Sulawesi Selatan",https://www.blibli.com/p/vga-card-zotac-rtx2060-ddr6-6gb-192bit-vga-rtx-2060-ddr6-vga10-zot/ps--VEC-70005-01432?ds=VEC-70005-01432-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3169372&pid=VEC-70005-01432,2021-10-26
1,blibli,Palit GeForce RTX 2060 GamingPro OC VGA Card [RTX2060 GAMINGPRO OC 6G],Rp35.000.000,,"Kota Makassar, Sulawesi Selatan",https://www.blibli.com/p/palit-geforce-rtx-2060-gamingpro-oc-vga-card-rtx2060-gamingpro-oc-6g/ps--NEC-70007-00017?ds=NEC-70007-00017-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3165611&pid=NEC-70007-00017,2021-10-26
2,blibli,Palit GeForce RTX 2060 GamingPro OC VGA Card [RTX2060 GAMINGPRO OC 6G],Rp13.900.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/palit-geforce-rtx-2060-gamingpro-oc-vga-card-rtx2060-gamingpro-oc-6g/ps--PRT-60028-01274?ds=PRT-60028-01274-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-01274,2021-10-26
3,blibli,Vga Colorful RTX 2060 NB-V 6GB GDDR6 192bit,Rp12.349.000,,"Kota Makassar, Sulawesi Selatan",https://www.blibli.com/p/vga-colorful-rtx-2060-nb-v-6gb-gddr6-192bit/ps--MUC-60080-00961?ds=MUC-60080-00961-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3130127&pid=MUC-60080-00961,2021-10-26
4,blibli,Vga Colorful RTX 2060 NB-V 6GB GDDR6 192bit,Rp12.349.000,,"Kota Makassar, Sulawesi Selatan",https://www.blibli.com/p/vga-colorful-rtx-2060-nb-v-6gb-gddr6-192bit/ps--MUC-60080-00705?ds=MUC-60080-00705-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3130127&pid=MUC-60080-00705,2021-10-26
5,blibli,MSi RTX 2060 GAMING Z 6G VGA,Rp12.600.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/msi-rtx-2060-gaming-z-6g-vga/ps--PRT-60028-01351?ds=PRT-60028-01351-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-01351,2021-10-26
6,blibli,MSi RTX 2060 SUPER VENTUS GP OC VGA,Rp15.900.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/msi-rtx-2060-super-ventus-gp-oc-vga/ps--PRT-60028-01350?ds=PRT-60028-01350-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-01350,2021-10-26
7,blibli,VGA Colorful RTX 2060 NB 2V 6GB DDR6 RTX2060 NB-2V,Rp11.100.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/vga-colorful-rtx-2060-nb-2v-6gb-ddr6-rtx2060-nb-2v/ps--PRT-60028-02089?ds=PRT-60028-02089-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-02089,2021-10-26
8,blibli,Inno3D GeForce RTX 2060 Twin X2 VGA Card [6GB/ DDR6],Rp12.500.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/inno3d-geforce-rtx-2060-twin-x2-vga-card-6gb-ddr6/ps--PRT-60028-01930?ds=PRT-60028-01930-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-01930,2021-10-26
9,blibli,Gigabyte GeForce RTX™ 2060 Gaming OC 6G VGA [GV-N2060GAMING OC-6GD],Rp13.450.000,,"Kota Surabaya, Jawa Timur",https://www.blibli.com/p/gigabyte-geforce-rtx-2060-gaming-oc-6g-vga-gv-n2060gaming-oc-6gd/ps--PRT-60028-01056?ds=PRT-60028-01056-00001&source=SEARCH&sid=b0446a7a84d55caa&cnc=false&pickupPointCode=PP-3056093&pid=PRT-60028-01056,2021-10-26
