,marketplace,title,price,sold,city,link,extraction_date
0,shopee,MSI Geforce RTX 2060 VENTUS GP OC 6GB GDDR6,Rp10.900.000,0,3 Tahun,https://shopee.co.id/MSI-Geforce-RTX-2060-VENTUS-GP-OC-6GB-GDDR6-i.59402203.11407961992?sp_atk=920ced67-a985-42b0-86e5-a9b38a93e6ff,2021-10-26
1,shopee,Colorful GeForce GTX 1660 SUPER NB 6G-V Nvidia BattleAX GDDR6 6GB VGA,Rp12.900.000,1,12 Bulan,https://shopee.co.id/Colorful-GeForce-GTX-1660-SUPER-NB-6G-V-Nvidia-BattleAX-GDDR6-6GB-VGA-i.224322801.12805283520?sp_atk=0b67ea5a-b206-41ab-bdba-0d926d657afd,2021-10-26
2,shopee,PC GAMING X2 250 RAM 4 GB HDD 500 GB VGA 1 GB DDR 3,Rp1.750.000 - Rp2.200.000,14,Pernah Dipakai,https://shopee.co.id/PC-GAMING-X2-250-RAM-4-GB-HDD-500-GB-VGA-1-GB-DDR-3-i.85284197.7518363250?sp_atk=a266e2c9-39e5-49cf-b866-18d2f1023831,2021-10-26
3,shopee,AMD ATI RADEON HD 7670 VGA CARD REBORN 4GB DDR5 128BIT,Rp925.000,13,13,https://shopee.co.id/AMD-ATI-RADEON-HD-7670-VGA-CARD-REBORN-4GB-DDR5-128BIT-i.69758484.8058423754?sp_atk=40199dac-5600-484c-8611-3b620a685c34,2021-10-26
4,shopee,VGA Radeon 512Mb 128bit seken - vga card 512mb,Rp144.000,15,Pernah Dipakai,https://shopee.co.id/VGA-Radeon-512Mb-128bit-seken-vga-card-512mb-i.26763450.10543931557?sp_atk=0b930b71-027b-4245-91d7-f1410e69ae66,2021-10-26
5,shopee,Vga Asus RTX 2060 6GB GDDR6 (Asus Dual Rtx 2060 6gb gddr6) Gransi Resmi,Rp11.350.000,1,24 Bulan,https://shopee.co.id/Vga-Asus-RTX-2060-6GB-GDDR6-(Asus-Dual-Rtx-2060-6gb-gddr6)-Gransi-Resmi-i.488555258.11962208974?sp_atk=d377624a-1d2a-4d0d-968a-8ac14a5eae9d,2021-10-26
6,shopee,PNY RTX 2060 NEW,Rp10.625.000,0,3 Tahun,https://shopee.co.id/PNY-RTX-2060-NEW-i.180131042.13228778085?sp_atk=afa523e5-0bcc-408b-9c80-c9cde87c90e3,2021-10-26
7,shopee,VGA GIGABYTE RTX 2060 D6 GDDR6 6GB,Rp10.400.000,2,,https://shopee.co.id/VGA-GIGABYTE-RTX-2060-D6-GDDR6-6GB-i.40255781.11652671871?sp_atk=d29690fc-438a-423c-b7d5-8b9e895e1a60,2021-10-26
8,shopee,VGA ASUS RTX 2060 DUAL Evo 6GB DDR6 Garansi Resmi,Rp10.999.000,1,3 Tahun,https://shopee.co.id/VGA-ASUS-RTX-2060-DUAL-Evo-6GB-DDR6-Garansi-Resmi-i.338201876.12118833172?sp_atk=7b13eaee-2c84-4b23-86e8-bcf1ac2d010a,2021-10-26
9,shopee,VGA PNY RTX 2060 6GB Baru Resmi 3 Tahun,Rp10.750.000,0,3 Tahun,https://shopee.co.id/VGA-PNY-RTX-2060-6GB-Baru-Resmi-3-Tahun-i.338201876.10158403293?sp_atk=152f81ca-f43d-4265-9688-7e40338e7ad4,2021-10-26
10,shopee,VGA GTX 1660 SUPER 6GB RTX 2060 8GB SUPER DDR6 1650 1050Ti RX 550 4GB DDR5 NVIDIA GRAPHIC CARD MURAH,Rp2.316.000 - Rp15.520.000,4,,https://shopee.co.id/VGA-GTX-1660-SUPER-6GB-RTX-2060-8GB-SUPER-DDR6-1650-1050Ti-RX-550-4GB-DDR5-NVIDIA-GRAPHIC-CARD-MURAH-i.494861020.3087339098?sp_atk=012f9322-88e3-4060-93c9-64e033ae9228,2021-10-26
11,shopee,vga zotac amp gtx 1650 4gb gddr6 bukan rtx 2060/3060 atau gtx 1050,Rp4.700.000,0,Pernah Dipakai,https://shopee.co.id/vga-zotac-amp-gtx-1650-4gb-gddr6-bukan-rtx-2060-3060-atau-gtx-1050-i.60700225.11363908153?sp_atk=5a6af537-943d-4944-a9be-d092da4564ec,2021-10-26
12,shopee,pny rtx 2060,Rp10.200.000,0,,https://shopee.co.id/pny-rtx-2060-i.57395825.11563403037?sp_atk=6fb34afa-3b00-4996-b406-eb875785db09,2021-10-26
13,shopee,HARGA MURAH [Laptop Gaming] ZOTAC GAMING GeForce RTX 2060 SUPER MINI,Rp4.434.400,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-Gaming-ZOTAC-GAMING-GeForce-RTX-2060-SUPER-MINI-i.572100671.13735717369?sp_atk=76aa8597-25b7-47ce-a8ab-0aacb80b410a,2021-10-26
14,shopee,HARGA MURAH [Komponen Komputer] MSI GeForce RTX 2060 Gaming Z 6G - 6GB DDR6 Komputer & Laptop,Rp6.954.901,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Komponen-Komputer-MSI-GeForce-RTX-2060-Gaming-Z-6G-6GB-DDR6-Komputer-Laptop-i.572100671.10763648405?sp_atk=7949be3d-3926-428d-99ac-84c8aa8f0f14,2021-10-26
15,shopee,"HARGA MURAH Laptop Lenovo Legion 5i 15 i7 10750 16GB 512ssd RTX2060 6GB 15.6""",Rp5.462.500,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-Lenovo-Legion-5i-15-i7-10750-16GB-512ssd-RTX2060-6GB-15.6--i.572100671.13335722258?sp_atk=5ca5014b-1231-4e27-835b-a59acb9a6819,2021-10-26
16,shopee,VGA INNO3D RTX 2060 TWIN X2,Rp2.562.500,0,12 Bulan,https://shopee.co.id/VGA-INNO3D-RTX-2060-TWIN-X2-i.570902973.13534875693?sp_atk=483dfacb-1605-4aa0-a20a-55d87fb93bec,2021-10-26
17,shopee,VGA GIGABYTE RTX 3060 Ti EAGLE OC 8G GeForce GV-N306TEAGLE OC-8GD Not GTX 1660 super 2060 super 3070 1080,Rp3.837.500,0,12 Bulan,https://shopee.co.id/VGA-GIGABYTE-RTX-3060-Ti-EAGLE-OC-8G-GeForce-GV-N306TEAGLE-OC-8GD-Not-GTX-1660-super-2060-super-3070-1080-i.570902973.10863171570?sp_atk=cb75750d-8984-4015-9647-69749d4afed3,2021-10-26
18,shopee,HARGA MURAH Laptop ASUS ROG Zephyrus G14 GA401 GeForce RTX 2060 Ryzen 9 4900HS,Rp9.032.330,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-ASUS-ROG-Zephyrus-G14-GA401-GeForce-RTX-2060-Ryzen-9-4900HS-i.572100671.12335741565?sp_atk=be06bb65-b64d-4f7c-82ac-770d80d58e87,2021-10-26
19,shopee,EVGA RTX 2060 Super 8GB GDDR6 SC Ultra,Rp14.000.000,0,Pernah Dipakai,https://shopee.co.id/EVGA-RTX-2060-Super-8GB-GDDR6-SC-Ultra-i.49370632.11462534462?sp_atk=422fdc68-561a-4cba-80de-14a2c3bb2ec6,2021-10-26
20,shopee,VGA GIGABYTE GeForce RTX 2060 D6 6GD GV-N2060D6-6GD Rev 2.0 RTX2060,Rp2.687.500,0,12 Bulan,https://shopee.co.id/VGA-GIGABYTE-GeForce-RTX-2060-D6-6GD-GV-N2060D6-6GD-Rev-2.0-RTX2060-i.570902973.10763171937?sp_atk=7cca78b2-e294-49df-9b45-6dc2321cbd85,2021-10-26
21,shopee,VGA INNO3D GeForce RTX 2060 6GB GDDR6 Twin X2,Rp1.275.000,0,12 Bulan,https://shopee.co.id/VGA-INNO3D-GeForce-RTX-2060-6GB-GDDR6-Twin-X2-i.570902973.12434892146?sp_atk=6e75e526-f290-4a0e-997a-c4928dd85ff1,2021-10-26
22,shopee,[TERMURAH] mining rig 1- 6 vga gtx 1660 super /1660ti / rtx 2060 sebulan dapat 6-10jt tinggal colok listrik per vga dapat 1-2jt sebulan rtx 3060 3070 380 3090 termurah se indonesia free konsultasi free ongkir semarang dan sekitarnya,Rp3.250.000 - Rp21.750.000,0,12 Bulan,https://shopee.co.id/-TERMURAH-mining-rig-1-6-vga-gtx-1660-super-1660ti-rtx-2060-sebulan-dapat-6-10jt-tinggal-colok-listrik-per-vga-dapat-1-2jt-sebulan-rtx-3060-3070-380-3090-termurah-se-indonesia-free-konsultasi-free-ongkir-semarang-dan-sekitarnya-i.570902973.11563172074?sp_atk=fb7fbc58-bcd7-425f-b975-f11cd2006654,2021-10-26
23,shopee,GIGABYTE GEFORCE RTX 2060 D6 6G 192 BIT NON LHR,Rp10.500.000,0,,https://shopee.co.id/GIGABYTE-GEFORCE-RTX-2060-D6-6G-192-BIT-NON-LHR-i.169001879.11061807284?sp_atk=c0069ea7-25c4-4bf4-bae0-ff70dfca5c1d,2021-10-26
24,shopee,VGA GAINWARD RTX 2060 SUPER GHOST 8GB GDDR6 256bit,Rp3.675.000,0,12 Bulan,https://shopee.co.id/VGA-GAINWARD-RTX-2060-SUPER-GHOST-8GB-GDDR6-256bit-i.570902973.10363171769?sp_atk=3624c596-23eb-491d-b0b0-883e1137fb84,2021-10-26
25,shopee,ASUS GeForce RTX 2060 Dual EVO OC - 6GB GDDR6 || X-rack74,Rp11.100.000,0,,https://shopee.co.id/ASUS-GeForce-RTX-2060-Dual-EVO-OC-6GB-GDDR6-X-rack74-i.127993321.6286165852?sp_atk=540280d6-6045-47d7-b000-ac509b3467f8,2021-10-26
26,shopee,ZOTAC GAMING VGA GeForce RTX 2060 6GB GDDR6,Rp10.850.000,0,24 Bulan,https://shopee.co.id/ZOTAC-GAMING-VGA-GeForce-RTX-2060-6GB-GDDR6-i.31015744.13135854990?sp_atk=6ec6725c-bbbf-436e-aedd-e17c494d319e,2021-10-26
27,shopee,VGA MSI RTX 2060 VENTUS GP OC 6GB GDDR6 RTX2060 MSI,Rp11.250.000,0,24 Bulan,https://shopee.co.id/VGA-MSI-RTX-2060-VENTUS-GP-OC-6GB-GDDR6-RTX2060-MSI-i.16585341.11602204018?sp_atk=78bf65f1-0389-46eb-bc4d-423ad54b5897,2021-10-26
28,shopee,HARGA MURAH Laptop ASUS ROG Zephyrus G14 GA401 GeForce RTX 2060 Ryzen 9 4900HS,Rp9.032.330,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-ASUS-ROG-Zephyrus-G14-GA401-GeForce-RTX-2060-Ryzen-9-4900HS-i.570655986.11563043543?sp_atk=cba6b555-51ae-4ff5-bc52-66f3152c1795,2021-10-26
29,shopee,HARGA MURAH [Laptop Gaming] ZOTAC GAMING GeForce RTX 2060 SUPER MINI,Rp4.434.400,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-Gaming-ZOTAC-GAMING-GeForce-RTX-2060-SUPER-MINI-i.570655986.11463043553?sp_atk=5e8c577f-d73a-4fe4-bf36-400d21bd35f2,2021-10-26
30,shopee,ASUS GeForce RTX 2060 DUAL OC edition 6GB GDDR6 DUAL FAN RGB,Rp10.999.000,0,3 Tahun,https://shopee.co.id/ASUS-GeForce-RTX-2060-DUAL-OC-edition-6GB-GDDR6-DUAL-FAN-RGB-i.24541643.12328373532?sp_atk=5570c5ee-4476-4ddc-b584-ad37a0e9adc8,2021-10-26
