,marketplace,title,price,sold,city,link,extraction_date
0,tokopedia,VGA Colorful Geforce RTX 2060 NB-V 6GB - 6 GB GDDR6,Rp11.200.000,Terjual 40,Jakarta Pusat,https://www.tokopedia.com/linecomp/vga-colorful-geforce-rtx-2060-nb-v-6gb-6-gb-gddr6?whid=0,2021-10-26
1,tokopedia,VGA ASUS GeForce RTX 2060 / RTX2060 Dual EVO OC - 6GB GDDR6,Rp11.380.000,Terjual 106,Jakarta Barat,https://www.tokopedia.com/chandut/vga-asus-geforce-rtx-2060-rtx2060-dual-evo-oc-6gb-gddr6?whid=0,2021-10-26
2,tokopedia,MSI GeForce RTX 2060 Ventus XS 6GB GDDR6 VGA,Rp6.000.000,Terjual 8,Jakarta Pusat,https://www.tokopedia.com/archive-gemilang51/msi-geforce-rtx-2060-ventus-xs-6gb-gddr6-vga?whid=0,2021-10-26
3,tokopedia,VGA ASUS RTX 2060 STRIX OC 6GB GDDR6 - Hitam,Rp10.000.000,Terjual 2,Kab. Tangerang,https://www.tokopedia.com/quondigital/vga-asus-rtx-2060-strix-oc-6gb-gddr6-hitam?whid=0,2021-10-26
4,tokopedia,Vga Colorful RTX 2060 NB-V 6GB - ColorFul Geforce RTX 2060 6GB NB-V,Rp11.200.000,Terjual 38,Jakarta Pusat,https://www.tokopedia.com/global-link168/vga-colorful-rtx-2060-nb-v-6gb-colorful-geforce-rtx-2060-6gb-nb-v?whid=0,2021-10-26
5,tokopedia,VGA CARD MSI GeForce RTX 2060 Super VENTUS GP OC,Rp14.500.000,Terjual 1,Jakarta Selatan,https://www.tokopedia.com/wiracom/vga-card-msi-geforce-rtx-2060-super-ventus-gp-oc?whid=0,2021-10-26
6,tokopedia,VGA Colorful RTX 2060 NB V 6GB DDR6,Rp11.100.000,Terjual 33,Jakarta Pusat,https://www.tokopedia.com/duniakom1/vga-colorful-rtx-2060-nb-v-6gb-ddr6?whid=0,2021-10-26
7,tokopedia,Custom Paket Mining VGA Bisa pilih RTX 2060 3070 3080 GTX 1660 Super,Rp9.999.999,,Jakarta Utara,https://www.tokopedia.com/mikkigameshop/custom-paket-mining-vga-bisa-pilih-rtx-2060-3070-3080-gtx-1660-super?whid=0,2021-10-26
8,tokopedia,Gigabyte VGA GeForce RTX™ 2060 D6 6G GV-N2060D6-6GD,Rp14.658.000,Terjual 35,Jakarta Utara,https://www.tokopedia.com/indtech/gigabyte-vga-geforce-rtx-2060-d6-6g-gv-n2060d6-6gd?whid=0,2021-10-26
9,tokopedia,PC Editing & Gaming Intel Core i5 9400F vga rtx 2060 6gb,Rp16.080.000,Terjual 3,Kota Bandung,https://www.tokopedia.com/pelitaa/pc-editing-gaming-intel-core-i5-9400f-vga-rtx-2060-6gb?whid=0,2021-10-26
10,tokopedia,VGA GIGABYTE RTX 2060 OC 6GB,Rp10.999.000,Terjual 13,Kota Surabaya,https://www.tokopedia.com/oneitsolution/vga-gigabyte-rtx-2060-oc-6gb?whid=0,2021-10-26
11,tokopedia,VGA GIGABYTE RTX 2060 6GB RTX2060 6GB,Rp11.000.000,Terjual 11,Jakarta Pusat,https://www.tokopedia.com/46comp/vga-gigabyte-rtx-2060-6gb-rtx2060-6gb?whid=0,2021-10-26
12,tokopedia,VGA CARD RTX 2060 VENTUS GP OC,Rp10.800.000,,Jakarta Pusat,https://www.tokopedia.com/rajahdd/vga-card-rtx-2060-ventus-gp-oc?whid=0,2021-10-26
